title,runtime,genre,rating,votes,metascore
Raya and the Last Dragon,107 min,"Animation, Action, Adventure",7.3,"142,305",75
Vortex,142 min,Drama,7.5,"1,343",84
The Tragedy of Macbeth,105 min,"Drama, Thriller, War",7.1,"30,501",87
Lamb,106 min,"Drama, Fantasy, Horror",6.4,"22,207",68
The Card Counter,111 min,"Crime, Drama, Thriller",6.3,"24,747",77
Reminiscence,116 min,"Mystery, Romance, Sci-Fi",5.8,"51,316",46
The Protégé,109 min,"Action, Thriller",6.1,"28,579",48
Don't Breathe 2,98 min,"Action, Crime, Horror",6,"49,528",46
The Grandmother,100 min,Horror,6,"2,421",
In the Heights,143 min,"Drama, Musical, Romance",7.3,"44,883",84
Rumble,95 min,"Animation, Comedy, Family",5.9,"5,117",48
Chaos Walking,109 min,"Action, Adventure, Fantasy",5.7,"43,892",38
The Tender Bar,106 min,Drama,6.7,"24,709",53
Finch,115 min,"Adventure, Drama, Sci-Fi",6.8,"75,981",57
The Mitchells vs the Machines,113 min,"Animation, Adventure, Comedy",7.6,"100,859",81
Clifford the Big Red Dog,96 min,"Adventure, Comedy, Family",5.9,"11,544",55
Gunpowder Milkshake,114 min,"Action, Crime, Thriller",6,"40,966",47
Munich: The Edge of War,130 min,"Biography, Drama, History",6.8,"26,857",53
All My Puny Sorrows,103 min,Drama,6.3,188,59
Jujutsu Kaisen 0: The Movie,112 min,"Animation, Action, Fantasy",7.9,"7,171",72
Kate,106 min,"Action, Adventure, Crime",6.2,"57,755",47
Without Remorse,109 min,"Action, Thriller, War",5.7,"55,651",41
Willy's Wonderland,88 min,"Action, Comedy, Horror",5.5,"26,681",44
"Paris, 13th District",105 min,"Comedy, Drama, Romance",7.1,"3,118",76
Girl in the Basement,88 min,"Crime, Thriller",6.3,"6,854",
Wrong Turn,109 min,"Horror, Thriller",5.5,"28,765",46
Furioza,139 min,"Action, Crime, Drama",6.2,"3,619",
American Underdog,112 min,"Biography, Drama, Sport",7.1,"10,034",53
The Vault,118 min,"Action, Adventure, Thriller",6.4,"22,859",50
After Yang,96 min,"Drama, Sci-Fi",6.7,"7,342",79
The Conjuring: The Devil Made Me Do It,112 min,"Horror, Mystery, Thriller",6.3,"106,551",53
Parallel Mothers,123 min,Drama,7.1,"23,812",88
No Sudden Move,115 min,"Crime, Drama, Mystery",6.4,"31,951",76
The Hand of God,130 min,Drama,7.3,"38,213",76
Cry Macho,104 min,Drama,5.7,"24,239",58
Voyagers,108 min,"Adventure, Sci-Fi, Thriller",5.4,"19,390",44
Cinderella,113 min,"Comedy, Family, Fantasy",4.2,"39,855",41
The Ice Road,109 min,"Adventure, Thriller",5.6,"37,492",42
The Electrical Life of Louis Wain,111 min,"Biography, Drama, History",6.8,"11,721",63
Fortress,99 min,Action,3.4,"3,590",
Cherry,142 min,"Crime, Drama",6.6,"30,541",44
Last Looks,110 min,"Action, Crime, Mystery",5.6,"4,998",48
Silent Night,92 min,"Comedy, Drama, Horror",5.7,"11,227",52
Space Jam: A New Legacy,115 min,"Animation, Adventure, Comedy",4.4,"68,206",36
Montana Story,113 min,Drama,7.4,99,74
Being the Ricardos,131 min,"Biography, Drama",6.5,"38,635",60
The Shadow in My Eye,107 min,"Drama, History, War",7.3,"8,317",
Wyrmwood: Apocalypse,88 min,"Action, Horror",5.3,"1,409",62
Those Who Wish Me Dead,100 min,"Action, Drama, Thriller",6,"57,228",59
Copshop,107 min,"Action, Crime, Thriller",6.2,"26,557",61
Till Death,88 min,Thriller,5.8,"19,375",66
Pushpa: The Rise - Part 1,179 min,"Action, Adventure, Crime",7.6,"60,898",
Ron's Gone Wrong,107 min,"Animation, Adventure, Comedy",7,"30,001",65
Diabolik,133 min,"Action, Crime, Mystery",6,"2,031",
Night Teeth,107 min,"Action, Crime, Drama",5.6,"16,906",42
The Medium,130 min,Horror,6.6,"6,455",
Memoria,136 min,"Drama, Sci-Fi",6.6,"5,642",90
PAW Patrol: The Movie,86 min,"Animation, Adventure, Comedy",6.1,"5,744",50
Hellbender,86 min,Horror,5.8,"2,708",70
Eiffel,108 min,"Biography, Drama, History",6.2,"3,308",
The Desperate Hour,84 min,Thriller,4.7,"2,923",35
The Drover's Wife,109 min,"Drama, History, Thriller",6.4,143,66
Bull,88 min,Thriller,6.4,"1,316",72
The Last Letter from Your Lover,110 min,"Drama, Romance",6.6,"16,431",57
Fear Street: Part One - 1994,107 min,"Drama, Horror, Mystery",6.2,"74,714",67
The Mauritanian,129 min,"Biography, Drama, Thriller",7.4,"48,557",53
The Exorcism of God,98 min,"Drama, Horror",5.3,"2,233",41
Malcolm & Marie,106 min,"Drama, Romance",6.6,"35,955",53
The Dig,112 min,"Biography, Drama, History",7.1,"72,096",73
Prisoners of the Ghostland,103 min,"Action, Fantasy, Sci-Fi",4.2,"10,317",53
The Deep House,85 min,"Drama, Horror, Mystery",5.4,"8,351",
The Humans,108 min,Drama,6.1,"5,921",78
The Boss Baby 2: Family Business,107 min,"Animation, Adventure, Comedy",5.9,"16,636",39
Annette,141 min,"Drama, Musical, Romance",6.3,"18,394",67
Queenpins,110 min,"Comedy, Crime",6.3,"11,951",45
Spiral,93 min,"Crime, Drama, Horror",5.2,"48,226",40
One Shot,96 min,"Action, Thriller",5.6,"3,695",39
The Woman in the Window,100 min,"Crime, Drama, Mystery",5.7,"72,055",41
He's All That,88 min,"Comedy, Romance",4.3,"23,497",36
Swan Song,112 min,"Drama, Romance, Sci-Fi",6.8,"12,515",66
Barb and Star Go to Vista Del Mar,107 min,Comedy,6.3,"16,718",64
A House on the Bayou,88 min,"Horror, Mystery, Thriller",5.4,"2,866",
Wheel of Fortune and Fantasy,121 min,"Drama, Romance",7.6,"5,089",86
