epoch,accuracy,loss,val_accuracy,val_loss
0,0.1014999970793724,0.7718340754508972,0.10490000247955322,0.8211424946784973
1,0.09976000338792801,0.7522223591804504,0.10509999841451645,0.8615729212760925
2,0.10102000087499619,0.7437821626663208,0.09510000050067902,0.8515564203262329
3,0.10100000351667404,0.7323657870292664,0.09480000287294388,0.8798267841339111
4,0.10096000134944916,0.7205550670623779,0.10140000283718109,0.8135563731193542
5,0.10068000108003616,0.7110016942024231,0.09560000151395798,0.8019170761108398
6,0.10143999755382538,0.7035260796546936,0.11289999634027481,0.7850120067596436
7,0.10062000155448914,0.6948118805885315,0.11429999768733978,0.7825877070426941
8,0.10152000188827515,0.6829041242599487,0.10050000250339508,0.7648918628692627
9,0.10158000141382217,0.680841326713562,0.09749999642372131,0.7801778316497803
